Model Outputs,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
,,S03:LAJC,,,S03:LHJC,,,S03:LKJC,,,S03:RAJC,,,S03:RHJC,,,S03:RKJC,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,25.3054,1378.72,88.7307,28.9835,1337.76,804.743,27.0603,1352.94,450.155,-124.315,1387.68,86.4135,-151.667,1327.4,804.312,-145.68,1380.13,456.674
2,0,25.3144,1378.69,88.7273,29.0214,1337.74,804.739,27.1262,1352.84,450.142,-124.311,1387.7,86.4132,-151.628,1327.37,804.303,-145.669,1380.21,456.681
3,0,25.3269,1378.65,88.7236,29.0589,1337.73,804.735,27.2013,1352.72,450.129,-124.307,1387.71,86.4133,-151.59,1327.35,804.295,-145.657,1380.28,456.687
4,0,25.3427,1378.59,88.7196,29.0959,1337.72,804.731,27.2854,1352.59,450.114,-124.303,1387.72,86.4138,-151.552,1327.33,804.288,-145.644,1380.35,456.693
5,0,25.3619,1378.53,88.7153,29.1326,1337.7,804.728,27.3785,1352.43,450.099,-124.3,1387.73,86.4146,-151.515,1327.31,804.281,-145.629,1380.41,456.698
6,0,25.3843,1378.45,88.7108,29.1688,1337.7,804.725,27.4801,1352.26,450.083,-124.296,1387.74,86.4158,-151.479,1327.3,804.274,-145.612,1380.48,456.702
7,0,25.4096,1378.37,88.7061,29.2046,1337.69,804.722,27.5893,1352.07,450.067,-124.293,1387.74,86.4172,-151.443,1327.29,804.267,-145.595,1380.54,456.706
8,0,25.4377,1378.28,88.7013,29.2399,1337.68,804.72,27.7055,1351.87,450.05,-124.29,1387.74,86.4188,-151.408,1327.28,804.261,-145.576,1380.6,456.709
9,0,25.4681,1378.19,88.6964,29.2748,1337.68,804.718,27.8273,1351.67,450.033,-124.287,1387.74,86.4205,-151.373,1327.28,804.256,-145.556,1380.66,456.711
10,0,25.5003,1378.09,88.6916,29.3092,1337.67,804.716,27.9532,1351.45,450.017,-124.284,1387.74,86.4223,-151.339,1327.28,804.25,-145.534,1380.71,456.713
11,0,25.5338,1377.99,88.687,29.3432,1337.67,804.714,28.0817,1351.24,450,-124.282,1387.74,86.424,-151.305,1327.28,804.246,-145.512,1380.76,456.714
12,0,25.5679,1377.88,88.6826,29.3766,1337.67,804.713,28.2106,1351.03,449.984,-124.279,1387.73,86.4254,-151.272,1327.29,804.241,-145.488,1380.81,456.714
